"","symboling","normalized-losses","make","fuel-type","aspiration","num-of-doors","body-style","drive-wheels","engine-location","wheel-base","length","width","height","curb-weight","engine-type","num-of-cylinders","engine-size","fuel-system","bore","stroke","compression-ratio","horsepower","peak-rpm","city-mpg","highway-mpg","price","date"
"32",1,"101","honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl","2.91","3.07",10.1,"60","5500",38,42,"5399","2019-03-20"
"33",3,"?","porsche","gas","std","two","convertible","rwd","rear",89.5,168.9,65,51.6,2800,"ohcf","six",194,"mpfi","3.74","2.9",9.5,"207","5900",17,25,"37028","2014-03-05"
"34",0,"91","toyota","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2122,"ohc","four",98,"2bbl","3.19","3.03",9,"70","4800",28,34,"8358","2018-12-05"
"35",1,"128","nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1889,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"5499","2019-01-09"
"36",0,"89","subaru","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2455,"ohcf","four",108,"mpfi","3.62","2.64",9,"94","5200",25,31,"10198","2018-08-28"
"37",3,"?","mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2921,"ohc","four",156,"spdi","3.59","3.86",7,"145","5000",19,24,"14869","2016-04-27"
"38",3,"150","saab","gas","std","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2707,"ohc","four",121,"mpfi","2.54","2.07",9.3,"110","5250",21,28,"15040","2017-06-20"
"39",2,"94","volkswagen","diesel","turbo","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2319,"ohc","four",97,"idi","3.01","3.4",23,"68","4500",37,42,"9495","2018-09-03"
"40",2,"134","toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2540,"ohc","four",146,"mpfi","3.62","3.5",9.3,"116","4800",24,30,"8449","2018-10-03"
"41",1,"168","toyota","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2300,"dohc","four",98,"mpfi","3.24","3.08",9.4,"112","6600",26,29,"9538","2018-11-16"
"42",0,"?","mercedes-benz","gas","std","four","sedan","rwd","front",120.9,208.1,71.7,56.7,3900,"ohcv","eight",308,"mpfi","3.8","3.35",8,"184","4500",14,16,"40960","2014-06-03"
"43",2,"83","subaru","gas","std","two","hatchback","fwd","front",93.7,157.9,63.6,53.7,2120,"ohcf","four",108,"2bbl","3.62","2.64",8.7,"73","4400",26,31,"7053","2019-03-17"
"44",1,"?","mercedes-benz","gas","std","two","hardtop","rwd","front",112,199.2,72,55.4,3715,"ohcv","eight",304,"mpfi","3.8","3.35",8,"184","4500",14,16,"45400","2014-07-04"
"45",0,"85","honda","gas","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","four",110,"1bbl","3.15","3.58",9,"86","5800",27,33,"10295","2018-03-10"
"46",2,"134","toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2536,"ohc","four",146,"mpfi","3.62","3.5",9.3,"116","4800",24,30,"9639","2018-05-15"
"47",3,"142","mercedes-benz","gas","std","two","convertible","rwd","front",96.6,180.3,70.5,50.8,3685,"ohcv","eight",234,"mpfi","3.46","3.1",8.3,"155","4750",16,18,"35056","2014-05-19"
"48",3,"153","mitsubishi","gas","turbo","two","hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc","four",110,"spdi","3.17","3.46",7.5,"116","5500",23,30,"9959","2020-09-23"
"49",2,"161","mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","four",92,"2bbl","2.97","3.23",9.4,"68","5500",37,41,"5389","2019-10-19"
"50",2,"?","renault","gas","std","two","hatchback","fwd","front",96.1,176.8,66.6,50.5,2460,"ohc","four",132,"mpfi","3.46","3.9",8.7,"?","?",23,31,"9895","2018-03-01"
"51",0,"106","nissan","gas","std","four","sedan","fwd","front",97.2,173.4,65.2,54.7,2302,"ohc","four",120,"2bbl","3.33","3.47",8.5,"97","5200",27,34,"9549","2018-07-11"
"52",1,"104","mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","four",91,"2bbl","3.03","3.15",9,"68","5000",31,38,"6795","2019-09-24"
"53",1,"119","plymouth","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1918,"ohc","four",90,"2bbl","2.97","3.23",9.4,"68","5500",37,41,"5572","2018-03-23"
"54",3,"?","alfa-romero","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi","3.47","2.68",9,"111","5000",21,27,"13495","2017-01-15"
"55",1,"?","isuzu","gas","std","two","sedan","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl","3.03","3.11",9.6,"70","5400",38,43,"?","2014-07-23"
"56",0,"?","isuzu","gas","std","four","sedan","fwd","front",94.5,155.9,63.6,52,1909,"ohc","four",90,"2bbl","3.03","3.11",9.6,"70","5400",38,43,"?","2014-03-14"
"57",0,"?","jaguar","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",258,"mpfi","3.63","4.17",8.1,"176","4750",15,19,"35550","2014-11-15"
"58",0,"?","isuzu","gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","four",111,"2bbl","3.31","3.23",8.5,"78","4800",24,29,"6785","2020-10-03"
"59",1,"118","dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl","2.97","3.23",9.41,"68","5500",37,41,"5572","2019-11-28"
"60",1,"148","dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"6692","2019-05-11"
"61",1,"113","mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","four",91,"2bbl","3.03","3.15",9,"68","5000",31,38,"6695","2019-09-09"
"62",-2,"103","volvo","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2935,"ohc","four",141,"mpfi","3.78","3.15",9.5,"114","5400",24,28,"15985","2016-02-21"
"63",0,"102","subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2340,"ohcf","four",108,"mpfi","3.62","2.64",9,"94","5200",26,32,"9960","2018-03-28"
"64",2,"94","volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2275,"ohc","four",109,"mpfi","3.19","3.4",9,"85","5250",27,34,"8495","2018-06-18"
"65",0,"?","bmw","gas","std","two","sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc","six",209,"mpfi","3.62","3.39",8,"182","5400",16,22,"41315","2014-01-21"
"66",0,"115","mazda","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl","3.39","3.39",8.6,"84","4800",26,32,"8495","2018-05-03"
"67",3,"?","mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2833,"ohc","four",156,"spdi","3.58","3.86",7,"145","5000",19,24,"12629","2017-08-10"
"68",0,"?","peugot","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3230,"l","four",120,"mpfi","3.46","3.19",8.4,"97","5000",19,24,"12440","2017-04-10"
"69",1,"129","mazda","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl","3.39","3.39",8.6,"84","4800",26,32,"10595","2018-08-03"
"70",1,"?","porsche","gas","std","two","hatchback","rwd","front",98.4,175.7,72.3,50.5,3366,"dohcv","eight",203,"mpfi","3.94","3.11",10,"288","5750",17,28,"?","2014-02-11"
"71",3,"256","volkswagen","gas","std","two","hatchback","fwd","front",94.5,165.7,64,51.4,2221,"ohc","four",109,"mpfi","3.19","3.4",8.5,"90","5500",24,29,"9980","2018-09-15"
"72",1,"148","dodge","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"6229","2019-10-10"
"73",3,"197","toyota","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,3016,"dohc","six",171,"mpfi","3.27","3.35",9.3,"161","5200",19,24,"15998","2016-03-10"
"74",-1,"65","toyota","diesel","turbo","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2480,"ohc","four",110,"idi","3.27","3.35",22.5,"73","4500",30,33,"10698","2016-03-10"
"75",1,"107","honda","gas","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","four",110,"2bbl","3.15","3.58",9.1,"100","5500",25,31,"10345","2018-12-13"
"76",0,"?","audi","gas","turbo","two","hatchback","4wd","front",99.5,178.2,67.9,52,3053,"ohc","five",131,"mpfi","3.13","3.4",7,"160","5500",16,22,"?","2014-02-21"
"77",1,"104","mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","four",91,"2bbl","3.03","3.15",9,"68","5000",31,38,"6095","2019-10-10"
"78",1,"98","chevrolet","gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl","3.03","3.11",9.6,"70","5400",38,43,"6295","2019-09-16"
"79",2,"134","toyota","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2551,"ohc","four",146,"mpfi","3.62","3.5",9.3,"116","4800",24,30,"9989","2019-06-02"
"80",3,"194","nissan","gas","turbo","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3139,"ohcv","six",181,"mpfi","3.43","3.27",7.8,"200","5200",17,23,"19699","2015-02-16"
"81",1,"158","audi","gas","std","four","sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc","five",136,"mpfi","3.19","3.4",8.5,"110","5500",19,25,"17710","2016-09-14"
"82",2,"161","mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","four",92,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"6189","2019-03-24"
"83",0,"106","honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","four",110,"1bbl","3.15","3.58",9,"86","5800",27,33,"9095","2018-05-01"
"84",3,"?","plymouth","gas","turbo","two","hatchback","rwd","front",95.9,173.2,66.3,50.2,2818,"ohc","four",156,"spdi","3.59","3.86",7,"145","5000",19,24,"12764","2017-07-06"
"85",-1,"65","toyota","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2414,"ohc","four",122,"mpfi","3.31","3.54",8.7,"92","4200",27,32,"9988","2018-12-14"
"86",1,"154","plymouth","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"6229","2017-03-17"
"87",3,"153","mitsubishi","gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","four",122,"2bbl","3.35","3.46",8.5,"88","5000",25,32,"8499","2018-02-19"
"88",2,"94","volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2300,"ohc","four",109,"mpfi","3.19","3.4",10,"100","5500",26,32,"9995","2018-07-27"
"89",1,"148","dodge","gas","turbo","?","sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc","four",98,"mpfi","3.03","3.39",7.6,"102","5500",24,30,"8558","2018-05-03"
"90",2,"192","bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi","3.5","2.8",8.8,"101","5800",23,29,"16430","2016-09-02"
"91",0,"81","toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,2290,"ohc","four",92,"2bbl","3.05","3.03",9,"62","4800",27,32,"7898","2018-07-09"
"92",1,"118","dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"6377","2019-10-02"
"93",1,"128","nissan","diesel","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,2017,"ohc","four",103,"idi","2.99","3.47",21.9,"55","4800",45,50,"7099","2019-09-04"
"94",2,"94","volkswagen","diesel","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2264,"ohc","four",97,"idi","3.01","3.4",23,"52","4800",37,46,"7995","2018-05-20"
"95",1,"122","nissan","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1938,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"6849","2019-06-27"
"96",2,"?","audi","gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five",136,"mpfi","3.19","3.4",8.5,"110","5500",19,25,"15250","2016-07-10"
"97",0,"102","subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2145,"ohcf","four",108,"2bbl","3.62","2.64",9.5,"82","4800",32,37,"7126","2019-01-24"
"98",0,"192","bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi","3.5","2.8",8.8,"101","5800",23,29,"16925","2015-05-26"
"99",1,"?","alfa-romero","gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","six",152,"mpfi","2.68","3.47",9,"154","5000",19,26,"16500","2016-03-13"
"100",2,"137","honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl","2.91","3.41",9.2,"76","6000",31,38,"6855","2019-06-04"
"101",2,"104","saab","gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2758,"ohc","four",121,"mpfi","3.54","3.07",9.3,"110","5250",21,28,"15510","2016-01-22"
"102",0,"91","toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2081,"ohc","four",98,"2bbl","3.19","3.03",9,"70","4800",30,37,"6938","2019-10-21"
"103",3,"150","mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2500,"rotor","two",80,"mpfi","?","?",9.4,"135","6000",16,23,"15645","2016-11-17"
"104",2,"134","toyota","gas","std","two","convertible","rwd","front",98.4,176.2,65.6,53,2975,"ohc","four",146,"mpfi","3.62","3.5",9.3,"116","4800",24,30,"17669","2016-11-12"
"105",0,"161","peugot","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3252,"l","four",152,"idi","3.7","3.52",21,"95","4150",28,33,"17950","2016-08-23"
"106",0,"161","peugot","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",120,"mpfi","3.46","2.19",8.4,"95","5000",19,24,"15580","2016-10-03"
"107",1,"118","dodge","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"mpfi","3.03","3.39",7.6,"102","5500",24,30,"7957","2018-02-04"
"108",2,"137","honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","four",92,"1bbl","2.91","3.41",9.6,"58","4800",49,54,"6479","2019-06-17"
"109",1,"101","honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl","2.91","3.41",9.2,"76","6000",30,34,"7129","2019-03-09"
"110",0,"77","toyota","gas","std","four","wagon","fwd","front",95.7,169.7,63.6,59.1,2280,"ohc","four",92,"2bbl","3.05","3.03",9,"62","4800",31,37,"6918","2018-10-23"
"111",1,"87","toyota","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,2040,"ohc","four",92,"2bbl","3.05","3.03",9,"62","4800",31,38,"6338","2019-02-22"
"112",0,"85","subaru","gas","std","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2420,"ohcf","four",108,"2bbl","3.62","2.64",9,"82","4800",23,29,"8013","2020-01-27"
"113",0,"85","honda","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","four",110,"mpfi","3.15","3.58",9,"101","5800",24,28,"12945","2016-10-23"
"114",0,"91","toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,3110,"ohc","four",92,"2bbl","3.05","3.03",9,"62","4800",27,32,"8778","2018-02-06"
"115",0,"91","toyota","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2109,"ohc","four",98,"2bbl","3.19","3.03",9,"70","4800",30,37,"7198","2019-03-12"
"116",0,"?","mazda","diesel","std","?","sedan","fwd","front",98.8,177.8,66.5,55.5,2443,"ohc","four",122,"idi","3.39","3.39",22.7,"64","4650",36,42,"10795","2018-01-25"
"117",0,"110","honda","gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl","2.91","3.41",9.2,"76","6000",30,34,"7295","2019-01-15"
"118",1,"74","toyota","gas","std","four","hatchback","fwd","front",95.7,158.7,63.6,54.5,2015,"ohc","four",92,"2bbl","3.05","3.03",9,"62","4800",31,38,"6488","2019-06-22"
"119",1,"128","nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"7299","2019-03-15"
"120",1,"129","mazda","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl","3.39","3.39",8.6,"84","4800",26,32,"8845","2018-08-18"
"121",0,"161","peugot","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3020,"l","four",120,"mpfi","3.46","3.19",8.4,"97","5000",19,24,"11900","2017-03-11"
"122",3,"150","saab","gas","std","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2658,"ohc","four",121,"mpfi","3.54","3.07",9.31,"110","5250",21,28,"11850","2017-09-19"
"123",0,"89","subaru","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2290,"ohcf","four",108,"2bbl","3.62","2.64",9,"82","4800",28,32,"7463","2019-10-24"
"124",1,"103","nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"7999","2018-10-10"
"125",0,"161","peugot","gas","turbo","four","sedan","rwd","front",108,186.7,68.3,56,3130,"l","four",134,"mpfi","3.61","3.21",7,"142","5600",18,24,"18150","2016-01-16"
"126",-1,"65","toyota","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2414,"ohc","four",122,"mpfi","3.31","3.54",8.7,"92","4200",27,32,"10898","2017-10-09"
"127",1,"125","mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","four",122,"2bbl","3.35","3.46",8.5,"88","5000",25,32,"6989","2019-06-26"
"128",0,"188","bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","six",164,"mpfi","3.31","3.19",9,"121","4250",21,28,"20970","2015-03-07"
"129",0,"102","subaru","gas","std","four","sedan","4wd","front",97,172,65.4,54.3,2385,"ohcf","four",108,"2bbl","3.62","2.64",9,"82","4800",24,25,"9233","2018-05-26"
"130",3,"150","saab","gas","turbo","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2808,"dohc","four",121,"mpfi","3.54","3.07",9,"160","5500",19,26,"18150","2016-11-17"
"131",-1,"?","toyota","gas","std","four","wagon","rwd","front",104.5,187.8,66.5,54.1,3151,"dohc","six",161,"mpfi","3.27","3.35",9.2,"156","5200",19,24,"15750","2015-01-27"
"132",2,"122","volkswagen","diesel","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2261,"ohc","four",97,"idi","3.01","3.4",23,"52","4800",37,46,"7775","2019-04-18"
"133",0,"188","bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","six",164,"mpfi","3.31","3.19",9,"121","4250",21,28,"21105","2015-06-10"
"134",-2,"103","volvo","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2912,"ohc","four",141,"mpfi","3.78","3.15",9.5,"114","5400",23,28,"12940","2017-01-19"
"135",-1,"90","toyota","gas","std","four","sedan","rwd","front",104.5,187.8,66.5,54.1,3131,"dohc","six",171,"mpfi","3.27","3.35",9.2,"156","5200",20,24,"15690","2016-04-02"
"136",1,"101","honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl","2.91","3.41",9.2,"76","6000",30,34,"6529","2019-04-22"
"137",0,"78","honda","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl","2.92","3.41",9.2,"76","6000",30,34,"7295","2019-09-27"
"138",1,"122","nissan","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1971,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"7499","2019-01-18"
"139",3,"150","mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl","?","?",9.4,"101","6000",17,23,"10945","2017-06-09"
"140",1,"103","nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"7349","2019-09-28"
"141",0,"81","chevrolet","gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl","3.03","3.11",9.6,"70","5400",38,43,"6575","2019-04-26"
"142",2,"104","saab","gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2695,"ohc","four",121,"mpfi","3.54","3.07",9.3,"110","5250",21,28,"12170","2017-02-16"
